image_path,label
./dataset/plants/C/frame_0084.jpg,C
./dataset/plants/D/frame_0028.jpg,D
./dataset/plants/K/frame_0037.jpg,K
./dataset/plants/A/frame_0035.jpg,A
./dataset/plants/K/frame_0024.jpg,K
./dataset/plants/K/frame_0032.jpg,K
./dataset/plants/C/frame_0077.jpg,C
./dataset/plants/I/frame_0014.jpg,I
./dataset/plants/D/frame_0040.jpg,D
./dataset/plants/B/frame_0028.jpg,B
./dataset/plants/H/frame_0014.jpg,H
./dataset/plants/N/frame_0023.jpg,N
./dataset/plants/G/frame_0047.jpg,G
./dataset/plants/E/frame_0021.jpg,E
./dataset/plants/N/frame_0038.jpg,N
./dataset/plants/D/frame_0015.jpg,D
./dataset/plants/K/frame_0036.jpg,K
./dataset/plants/D/frame_0037.jpg,D
./dataset/plants/N/frame_0032.jpg,N
./dataset/plants/N/frame_0029.jpg,N
./dataset/plants/D/frame_0032.jpg,D
./dataset/plants/G/frame_0031.jpg,G
./dataset/plants/B/frame_0033.jpg,B
./dataset/plants/D/frame_0001.jpg,D
./dataset/plants/J/frame_0042.jpg,J
./dataset/plants/L/frame_0045.jpg,L
./dataset/plants/C/frame_0004.jpg,C
./dataset/plants/D/frame_0036.jpg,D
./dataset/plants/N/frame_0005.jpg,N
./dataset/plants/M/frame_0004.jpg,M
./dataset/plants/N/frame_0010.jpg,N
./dataset/plants/B/frame_0016.jpg,B
./dataset/plants/N/frame_0008.jpg,N
./dataset/plants/L/frame_0038.jpg,L
./dataset/plants/L/frame_0011.jpg,L
./dataset/plants/D/frame_0006.jpg,D
./dataset/plants/B/frame_0009.jpg,B
./dataset/plants/C/frame_0007.jpg,C
./dataset/plants/E/frame_0008.jpg,E
./dataset/plants/F/frame_0022.jpg,F
./dataset/plants/C/frame_0076.jpg,C
./dataset/plants/K/frame_0004.jpg,K
./dataset/plants/I/frame_0013.jpg,I
./dataset/plants/A/frame_0036.jpg,A
./dataset/plants/G/frame_0049.jpg,G
./dataset/plants/H/frame_0013.jpg,H
./dataset/plants/J/frame_0017.jpg,J
./dataset/plants/G/frame_0014.jpg,G
./dataset/plants/G/frame_0009.jpg,G
./dataset/plants/B/frame_0011.jpg,B
./dataset/plants/K/frame_0002.jpg,K
./dataset/plants/H/frame_0015.jpg,H
./dataset/plants/E/frame_0022.jpg,E
./dataset/plants/I/frame_0005.jpg,I
./dataset/plants/N/frame_0020.jpg,N
./dataset/plants/L/frame_0055.jpg,L
./dataset/plants/B/frame_0034.jpg,B
./dataset/plants/N/frame_0019.jpg,N
./dataset/plants/H/frame_0012.jpg,H
./dataset/plants/C/frame_0001.jpg,C
./dataset/plants/N/frame_0036.jpg,N
./dataset/plants/F/frame_0025.jpg,F
./dataset/plants/L/frame_0040.jpg,L
./dataset/plants/C/frame_0012.jpg,C
./dataset/plants/M/frame_0067.jpg,M
./dataset/plants/G/frame_0051.jpg,G
./dataset/plants/N/frame_0018.jpg,N
./dataset/plants/M/frame_0058.jpg,M
./dataset/plants/L/frame_0027.jpg,L
./dataset/plants/I/frame_0006.jpg,I
./dataset/plants/B/frame_0023.jpg,B
./dataset/plants/G/frame_0015.jpg,G
./dataset/plants/M/frame_0002.jpg,M
./dataset/plants/K/frame_0011.jpg,K
./dataset/plants/M/frame_0055.jpg,M
./dataset/plants/K/frame_0018.jpg,K
./dataset/plants/F/frame_0047.jpg,F
./dataset/plants/N/frame_0033.jpg,N
./dataset/plants/D/frame_0012.jpg,D
./dataset/plants/C/frame_0011.jpg,C
./dataset/plants/K/frame_0025.jpg,K
./dataset/plants/B/frame_0012.jpg,B
./dataset/plants/B/frame_0000.jpg,B
./dataset/plants/M/frame_0039.jpg,M
./dataset/plants/L/frame_0039.jpg,L
./dataset/plants/B/frame_0038.jpg,B
./dataset/plants/L/frame_0028.jpg,L
./dataset/plants/F/frame_0004.jpg,F
./dataset/plants/K/frame_0009.jpg,K
./dataset/plants/D/frame_0043.jpg,D
./dataset/plants/G/frame_0002.jpg,G
./dataset/plants/B/frame_0025.jpg,B
./dataset/plants/B/frame_0022.jpg,B
./dataset/plants/H/frame_0008.jpg,H
./dataset/plants/H/frame_0000.jpg,H
./dataset/plants/L/frame_0054.jpg,L
./dataset/plants/B/frame_0013.jpg,B
./dataset/plants/F/frame_0015.jpg,F
./dataset/plants/I/frame_0015.jpg,I
./dataset/plants/B/frame_0019.jpg,B
./dataset/plants/K/frame_0029.jpg,K
./dataset/plants/B/frame_0030.jpg,B
./dataset/plants/E/frame_0012.jpg,E
./dataset/plants/K/frame_0008.jpg,K
./dataset/plants/J/frame_0030.jpg,J
./dataset/plants/K/frame_0014.jpg,K
./dataset/plants/B/frame_0006.jpg,B
./dataset/plants/M/frame_0044.jpg,M
./dataset/plants/H/frame_0016.jpg,H
./dataset/plants/D/frame_0018.jpg,D
./dataset/plants/F/frame_0051.jpg,F
./dataset/plants/M/frame_0051.jpg,M
./dataset/plants/G/frame_0036.jpg,G
./dataset/plants/E/frame_0031.jpg,E
./dataset/plants/F/frame_0045.jpg,F
./dataset/plants/H/frame_0001.jpg,H
./dataset/plants/M/frame_0011.jpg,M
./dataset/plants/L/frame_0036.jpg,L
./dataset/plants/M/frame_0006.jpg,M
./dataset/plants/A/frame_0025.jpg,A
./dataset/plants/E/frame_0023.jpg,E
./dataset/plants/D/frame_0020.jpg,D
./dataset/plants/B/frame_0036.jpg,B
./dataset/plants/F/frame_0024.jpg,F
./dataset/plants/C/frame_0008.jpg,C
./dataset/plants/E/frame_0027.jpg,E
./dataset/plants/J/frame_0044.jpg,J
./dataset/plants/G/frame_0012.jpg,G
./dataset/plants/L/frame_0010.jpg,L
./dataset/plants/C/frame_0017.jpg,C
./dataset/plants/C/frame_0037.jpg,C
./dataset/plants/D/frame_0022.jpg,D
./dataset/plants/H/frame_0010.jpg,H
./dataset/plants/M/frame_0053.jpg,M
./dataset/plants/D/frame_0000.jpg,D
./dataset/plants/D/frame_0019.jpg,D
./dataset/plants/B/frame_0002.jpg,B
./dataset/plants/L/frame_0034.jpg,L
./dataset/plants/H/frame_0030.jpg,H
./dataset/plants/L/frame_0013.jpg,L
./dataset/plants/M/frame_0008.jpg,M
./dataset/plants/H/frame_0005.jpg,H
./dataset/plants/L/frame_0041.jpg,L
./dataset/plants/N/frame_0035.jpg,N
./dataset/plants/H/frame_0003.jpg,H
./dataset/plants/J/frame_0032.jpg,J
./dataset/plants/G/frame_0023.jpg,G
./dataset/plants/H/frame_0002.jpg,H
./dataset/plants/E/frame_0001.jpg,E
./dataset/plants/H/frame_0022.jpg,H
./dataset/plants/F/frame_0007.jpg,F
./dataset/plants/A/frame_0032.jpg,A
./dataset/plants/D/frame_0003.jpg,D
./dataset/plants/B/frame_0004.jpg,B
./dataset/plants/M/frame_0056.jpg,M
./dataset/plants/A/frame_0024.jpg,A
./dataset/plants/L/frame_0030.jpg,L
./dataset/plants/M/frame_0046.jpg,M
./dataset/plants/M/frame_0049.jpg,M
./dataset/plants/J/frame_0019.jpg,J
./dataset/plants/M/frame_0059.jpg,M
./dataset/plants/G/frame_0052.jpg,G
./dataset/plants/N/frame_0028.jpg,N
./dataset/plants/B/frame_0007.jpg,B
./dataset/plants/L/frame_0047.jpg,L
./dataset/plants/L/frame_0012.jpg,L
./dataset/plants/B/frame_0005.jpg,B
./dataset/plants/B/frame_0026.jpg,B
./dataset/plants/N/frame_0024.jpg,N
./dataset/plants/B/frame_0003.jpg,B
./dataset/plants/E/frame_0014.jpg,E
./dataset/plants/C/frame_0006.jpg,C
./dataset/plants/E/frame_0024.jpg,E
./dataset/plants/I/frame_0018.jpg,I
./dataset/plants/L/frame_0001.jpg,L
./dataset/plants/L/frame_0002.jpg,L
./dataset/plants/L/frame_0031.jpg,L
./dataset/plants/K/frame_0012.jpg,K
./dataset/plants/K/frame_0020.jpg,K
./dataset/plants/N/frame_0031.jpg,N
./dataset/plants/E/frame_0030.jpg,E
./dataset/plants/N/frame_0021.jpg,N
./dataset/plants/M/frame_0040.jpg,M
./dataset/plants/L/frame_0018.jpg,L
./dataset/plants/K/frame_0005.jpg,K
./dataset/plants/B/frame_0042.jpg,B
./dataset/plants/J/frame_0031.jpg,J
./dataset/plants/E/frame_0028.jpg,E
./dataset/plants/N/frame_0009.jpg,N
./dataset/plants/J/frame_0016.jpg,J
./dataset/plants/N/frame_0027.jpg,N
./dataset/plants/H/frame_0007.jpg,H
./dataset/plants/D/frame_0023.jpg,D
./dataset/plants/K/frame_0034.jpg,K
./dataset/plants/E/frame_0025.jpg,E
./dataset/plants/B/frame_0041.jpg,B
./dataset/plants/D/frame_0031.jpg,D
./dataset/plants/K/frame_0033.jpg,K
./dataset/plants/K/frame_0027.jpg,K
./dataset/plants/L/frame_0026.jpg,L
./dataset/plants/K/frame_0035.jpg,K
./dataset/plants/B/frame_0010.jpg,B
./dataset/plants/M/frame_0047.jpg,M
./dataset/plants/M/frame_0041.jpg,M
./dataset/plants/L/frame_0056.jpg,L
./dataset/plants/L/frame_0003.jpg,L
./dataset/plants/E/frame_0002.jpg,E
./dataset/plants/C/frame_0081.jpg,C
./dataset/plants/F/frame_0003.jpg,F
./dataset/plants/F/frame_0000.jpg,F
./dataset/plants/E/frame_0013.jpg,E
./dataset/plants/L/frame_0025.jpg,L
./dataset/plants/A/frame_0033.jpg,A
./dataset/plants/F/frame_0018.jpg,F
./dataset/plants/M/frame_0032.jpg,M
./dataset/plants/F/frame_0054.jpg,F
./dataset/plants/F/frame_0035.jpg,F
./dataset/plants/F/frame_0012.jpg,F
./dataset/plants/L/frame_0053.jpg,L
./dataset/plants/N/frame_0006.jpg,N
./dataset/plants/E/frame_0009.jpg,E
./dataset/plants/F/frame_0001.jpg,F
./dataset/plants/G/frame_0013.jpg,G
./dataset/plants/G/frame_0008.jpg,G
./dataset/plants/H/frame_0009.jpg,H
./dataset/plants/E/frame_0005.jpg,E
./dataset/plants/F/frame_0028.jpg,F
./dataset/plants/M/frame_0003.jpg,M
./dataset/plants/G/frame_0033.jpg,G
./dataset/plants/C/frame_0083.jpg,C
./dataset/plants/M/frame_0057.jpg,M
./dataset/plants/K/frame_0028.jpg,K
./dataset/plants/E/frame_0018.jpg,E
./dataset/plants/A/frame_0023.jpg,A
./dataset/plants/F/frame_0005.jpg,F
./dataset/plants/D/frame_0005.jpg,D
./dataset/plants/C/frame_0000.jpg,C
./dataset/plants/M/frame_0035.jpg,M
./dataset/plants/E/frame_0020.jpg,E
./dataset/plants/C/frame_0005.jpg,C
./dataset/plants/M/frame_0005.jpg,M
./dataset/plants/H/frame_0018.jpg,H
./dataset/plants/J/frame_0033.jpg,J
./dataset/plants/D/frame_0014.jpg,D
./dataset/plants/G/frame_0034.jpg,G
./dataset/plants/F/frame_0020.jpg,F
./dataset/plants/K/frame_0016.jpg,K
